Profession,Experience,Suggested Edit No,,,,,,,,
Digital Marketer,0 to 2,1 to 10,,,,,,,,
Faculty member,0 to 2,1 to 10,,,,,,,,
Faculty member,0 to 2,1 to 10,,,,,,,,
Faculty member,0 to 2,1 to 10,,,,,,,,
Faculty member,0 to 2,1 to 10,,,,,,,,
Faculty member,0 to 2,50+,,,,,,,,
Faculty member,15 or more,1 to 10,,,,,,,,
Faculty member,3 to 5,1 to 10,,,,,,,,
IT Specialist,6 to 8,21 - 30,,,,,,,,
Quality assurance engineer,3 to 5,1 to 10,,,,,,,,
Research engineer,0 to 2,1 to 10,,,,,,,,
Research engineer,15 or more,41 - 50,,,,,,,,
Software Developer,0 to 2,1 to 10,,,,,,,,
Software Developer,0 to 2,1 to 10,,,,,,,,
Software Developer,0 to 2,1 to 10,,,,,,,,
Software Developer,0 to 2,1 to 10,,,,,,,,
Software Developer,0 to 2,1 to 10,,,,,,,,
Software Developer,0 to 2,41 - 50,,,,,,,,
Software Developer,0 to 2,1 to 10,,,,,,,,
Software Developer,3 to 5,1 to 10,,,,,,,,
Software Developer,3 to 5,1 to 10,,,,,,,,
Software Developer,3 to 5,1 to 10,,,25,13,4,2,,
Software Developer,3 to 5,1 to 10,,,56.8,29.5,9.1,4.5,,
Software Developer,3 to 5,50+,,,,,,,,
Software Developer,3 to 5,1 to 10,,,,,,,,
Software Developer,3 to 5,1 to 10,,,,,,,,
Software Developer,6 to 8,11 to 20,,,,,,,,
Software Engineer(SQA),0 to 2,1 to 10,,,,,,,,
Student,0 to 2,1 to 10,,,,,,,,
Student,0 to 2,1 to 10,,,,,,,,
Student,0 to 2,1 to 10,,,,,,,,
Student,0 to 2,1 to 10,,,,,,,,
Student,0 to 2,1 to 10,,,,,,,,
Student,0 to 2,1 to 10,,,,Student/Faculty,SW Dev,Research Engg,TL,Other
Student,0 to 2,21 - 30,,,,21,17,2,2,2
Student,0 to 2,1 to 10,,,,47.7,38.6,4.5,4.5,4.5
Student,0 to 2,1 to 10,,,,,,,,
Student,3 to 5,1 to 10,,,,,,,,
Student,3 to 5,11 to 20,,,,,,,,
Student,3 to 5,21 - 30,,,,,,,,
Student,3 to 5,1 to 10,,,,,,,,
Student,6 to 8,1 to 10,,,,,,,,
Technical lead,0 to 2,1 to 10,,,,,,,,
Technical lead,6 to 8,11 to 20,,,,,,,,
