Id,PostId,Score,RevisionGUID,CreationDate,UserId,Comment,Revision,RollbackTo,Reason1,Reason2,Reason3,Reason4,PostData(Before),PostData(After)
47158772,12,326,2d575a9f-dd85-4fdf-80e3-8d83d8013892,2013-09-12 16:11,61989,Rollback to [d095aea1-fda7-42cb-ada4-a42b64a278f9],11,9,Undesired Code Format,,,,"<div class=""post-text""> 
 <p> Well, here's how we do it on Stack Overflow.</p> 
 <pre><code>var ts = new TimeSpan(DateTime.UtcNow.Ticks - dt.Ticks);
double delta = Math.Abs(ts.TotalSeconds);

if (delta &lt; 60)<span class=""diff-delete""> </span>{
<span class=""diff-delete"">  </span>  return ts.Seconds == 1 ? ""one second ago"" : ts.Seconds<span class=""diff-delete"">
           </span> + "" seconds ago"";
}
if (delta &lt; 120)<span class=""diff-delete""> </span>{
<span class=""diff-delete"">  </span>  return ""a minute ago"";
}
if (delta &lt; 2700) // 45 * 60
{
<span class=""diff-delete"">  </span>  return ts.Minutes + "" minutes ago"";
}
if (delta &lt; 5400) // 90 * 60
{
<span class=""diff-delete"">  </span>  return ""an hour ago"";
}
if (delta &lt; 86400)<span class=""diff-delete""> {</span> // 24 * 60 * 60
<span class=""diff-delete"">  </span>  return ts.Hours + "" hours ago"";
}
if (delta &lt; 172800) <span class=""diff-delete"">{ </span>// 48 * 60 * 60
<span class=""diff-delete"">  </span>  return ""yesterday"";
}
if (delta &lt; 2592000) <span class=""diff-delete"">{ </span>// 30 * 24 * 60 * 60
<span class=""diff-delete"">  </span>  return ts.Days + "" days ago"";
}
if (delta &lt; 31104000) <span class=""diff-delete"">{ </span>// 12 * 30 * 24 * 60 * 60
<span class=""diff-delete"">  </span>  int months = Convert.ToInt32(Math.Floor((double)<span class=""diff-delete""> </span>ts.Days / 30));
<span class=""diff-delete"">  </span>  return months &lt;= 1 ? ""one month ago"" : months + "" months ago"";
}
int years = Convert.ToInt32(Math.Floor((double)<span class=""diff-delete""> </span>ts.Days / 365));
return years &lt;= 1 ? ""one year ago"" : years + "" years ago"";
</code></pre> 
 <p> Suggestions? Comments? Ways to improve this algorithm?</p> 
</div>","<div class=""post-text""> 
 <p> Well, here's how we do it on Stack Overflow.</p> 
 <pre><code>var ts = new TimeSpan(DateTime.UtcNow.Ticks - dt.Ticks);
double delta = Math.Abs(ts.TotalSeconds);

if (delta &lt; 60)<span class=""diff-add"">&nbsp;
</span>{
  return ts.Seconds == 1 ? ""one second ago"" : ts.Seconds + "" seconds ago"";
}
if (delta &lt; 120)<span class=""diff-add"">&nbsp;
</span>{
  return ""a minute ago"";
}
if (delta &lt; 2700) // 45 * 60
{
  return ts.Minutes + "" minutes ago"";
}
if (delta &lt; 5400) // 90 * 60
{
  return ""an hour ago"";
}
if (delta &lt; 86400) // 24 * 60 * 60
<span class=""diff-add"">{
</span>  return ts.Hours + "" hours ago"";
}
if (delta &lt; 172800) // 48 * 60 * 60
<span class=""diff-add"">{
</span>  return ""yesterday"";
}
if (delta &lt; 2592000) // 30 * 24 * 60 * 60
<span class=""diff-add"">{
</span>  return ts.Days + "" days ago"";
}
if (delta &lt; 31104000) // 12 * 30 * 24 * 60 * 60
<span class=""diff-add"">{
</span>  int months = Convert.ToInt32(Math.Floor((double)ts.Days / 30));
  return months &lt;= 1 ? ""one month ago"" : months + "" months ago"";
}
int years = Convert.ToInt32(Math.Floor((double)ts.Days / 365));
return years &lt;= 1 ? ""one year ago"" : years + "" years ago"";
</code></pre> 
 <p> Suggestions? Comments? Ways to improve this algorithm?</p> 
</div>"
3109641,33,460,e991712d-1acc-498f-9416-e203cf155d91,2009-10-14 2:09,13,Rollback to [88372f09-32b7-4460-91b5-a775457272a6],4,2,Undesired Text Change,,,,"<div class=""post-text""> 
 <p><code>Math.Floor</code> rounds down, <code>Math.Ceiling</code> rounds up, and <code>Math.Truncate</code> rounds towards zero. Thus, <code>Math.Truncate</code> is like <code>Math.Floor</code> for positive numbers, and like <code>Math.Ceiling</code> for negative numbers. Here's the <a href=""http://msdn.microsoft.com/en-us/library/system.math.truncate.aspx"" rel=""nofollow noreferrer"">reference</a>.</p> 
 <p> For completeness, <code>Math.Round</code> rounds to the nearest integer. If the number is exactly midway between two integers, then it rounds towards the even one. <a href=""http://msdn.microsoft.com/en-us/library/system.math.round.aspx"" rel=""nofollow noreferrer"">Reference.</a></p> 
 <p> See also: <a href=""http://stackoverflow.com/questions/14/whats-the-difference-between-math-floor-and-math-truncate-in-c/580252#580252""><span class=""diff-delete"">Pax's</span> answer</a>. Highly recommended!</p> 
</div>","<div class=""post-text""> 
 <p><code>Math.Floor</code> rounds down, <code>Math.Ceiling</code> rounds up, and <code>Math.Truncate</code> rounds towards zero. Thus, <code>Math.Truncate</code> is like <code>Math.Floor</code> for positive numbers, and like <code>Math.Ceiling</code> for negative numbers. Here's the <a href=""http://msdn.microsoft.com/en-us/library/system.math.truncate.aspx"" rel=""nofollow noreferrer"">reference</a>.</p> 
 <p> For completeness, <code>Math.Round</code> rounds to the nearest integer. If the number is exactly midway between two integers, then it rounds towards the even one. <a href=""http://msdn.microsoft.com/en-us/library/system.math.round.aspx"" rel=""nofollow noreferrer"">Reference.</a></p> 
 <p> See also: <a href=""http://stackoverflow.com/questions/14/whats-the-difference-between-math-floor-and-math-truncate-in-c/580252#580252""><span class=""diff-add"">Pax Diablo's</span> answer</a>. Highly recommended!</p> 
</div>"
143589859,396,329,42f48bf8-2ed6-4a48-b1c9-ef4c33d30d6d,2017-04-20 16:28,246246,Rollback to [a78a73b6-2733-4500-9755-691d8ca7bdb4],11,9,Undesired Text Formatting,Ref Mod,Undesired Text Change,,"<div class=""post-text""> 
 <p> Use email authentication methods, such as <a href=""http://en.wikipedia.org/wiki/Sender_Policy_Framework"" rel=""nofollow noreferrer"">SPF</a>, and <a href=""https://help.ubuntu.com/community/Postfix/DKIM"" rel=""nofollow noreferrer"">DKIM</a><span class=""diff-delete"">, and </span><a href=""https://dmarc.org/"" rel=""nofollow noreferrer""><span class=""diff-delete"">DMARC</span></a> to prove that your emails and your domain name belong together, and to prevent spoofing of your domain name. <span class=""diff-delete"">You can use</span> a <a href=""https://www.unlocktheinbox.com/spfwizard/"" rel=""nofollow noreferrer""><span class=""diff-delete"">SPF Wizard</span></a> to generate the DNS information for your site.</p> 
 <p><a href=""http://ipadmin.junkemailfilter.com/rdns.php"" rel=""nofollow noreferrer""><span class=""diff-delete"">Check</span></a> your <a href=""https://en.wikipedia.org/wiki/Reverse_DNS_lookup"" rel=""nofollow noreferrer""><span class=""diff-delete"">reverse DNS</span></a> to make sure the IP address of your mail server points to the domain name that you use for sending mail.</p> 
 <p> Make sure that the IP-address that you're using is <a href=""https://www.spamhaus.org/lookup/"" rel=""nofollow noreferrer""><span class=""diff-delete"">not on a blacklist</span></a></p> 
 <p> Make sure that the reply-to address is a valid, existing address.</p> 
 <p> Use the full, real name of the addressee in the To field, not just the email-address (e.g. <code>""John Smith"" &lt;john@blacksmiths-international.com&gt;</code> ).</p> 
 <p> Monitor your abuse accounts, such as <strong><span class=""diff-delete"">abuse@yourdomain.com</span></strong> and <strong><span class=""diff-delete"">postmaster@yourdomain.com</span></strong>.<span class=""diff-delete""> </span></p> 
 <span class=""diff-delete""> </span> 
 <p><span class=""diff-delete"">&nbsp;</span> That means<span class=""diff-delete"">:</span></p> 
 <span class=""diff-delete""> </span> 
 <ul> 
  <span class=""diff-delete""> </span> 
  <li><span class=""diff-delete""> Make sure that these accounts exist</span></li> 
  <span class=""diff-delete""> </span> 
  <li><span class=""diff-delete""> Read what's sent to them</span></li> 
  <span class=""diff-delete""> </span> 
  <li><span class=""diff-delete""> Act on complaints.</span></li> 
  <span class=""diff-delete""> </span> 
 </ul> 
 <p> Finally, make it <strong>really</strong> easy to unsubscribe. Otherwise, your users will unsubscribe by pressing the <strong>spam</strong> button, and that will affect your reputation.</p> 
 <p> That said, getting Hotmail to accept your emails remains a black art.</p> 
</div>","<div class=""post-text""> 
 <p> Use email authentication methods, such as <a href=""http://en.wikipedia.org/wiki/Sender_Policy_Framework"" rel=""nofollow noreferrer"">SPF</a>, and <a href=""https://help.ubuntu.com/community/Postfix/DKIM"" rel=""nofollow noreferrer"">DKIM</a> to prove that your emails and your domain name belong together, and to prevent spoofing of your domain name. <span class=""diff-add"">The SPF website includes</span> a <span class=""diff-add"">wizard</span> to generate the DNS information for your site.</p> 
 <p><a href=""http://remote.12dt.com/"" rel=""nofollow noreferrer""><span class=""diff-add"">Check</span></a> your <a href=""http://en.wikipedia.org/wiki/Reverse_DNS_lookup"" rel=""nofollow noreferrer""><span class=""diff-add"">reverse DNS</span></a> to make sure the IP address of your mail server points to the domain name that you use for sending mail.</p> 
 <p> Make sure that the IP-address that you're using is <a href=""http://www.spamhaus.org/lookup.lasso"" rel=""nofollow noreferrer""><span class=""diff-add"">not on a blacklist</span></a></p> 
 <p> Make sure that the reply-to address is a valid, existing address.</p> 
 <p> Use the full, real name of the addressee in the To field, not just the email-address (e.g. <code>""John Smith"" &lt;john@blacksmiths-international.com&gt;</code> ).</p> 
 <p> Monitor your abuse accounts, such as <span class=""diff-add"">abuse@yourdomain.com</span> and <span class=""diff-add"">postmaster@yourdomain</span>.<span class=""diff-add"">com.</span> That means<span class=""diff-add""> - make sure that these accounts exist, read what's sent to them, and act on complaints.</span></p> 
 <p> Finally, make it <strong>really</strong> easy to unsubscribe. Otherwise, your users will unsubscribe by pressing the <strong>spam</strong> button, and that will affect your reputation.</p> 
 <p> That said, getting Hotmail to accept your emails remains a black art.</p> 
</div>"
143589151,451,13,80268242-a783-4159-9357-9f1dc75ebd8d,2017-04-20 16:17,246246,Rollback to [1fffbce0-2c40-4b37-a053-bd5008952592],3,1,Ref Mod,,,,"<div class=""post-text""> 
 <p> Yahoo uses a method called Sender ID, which can be configured at <a href=""https://www.unlocktheinbox.com/spfwizard/"" rel=""nofollow noreferrer""><span class=""diff-delete"">The SPF Setup Wizard</span></a> and entered in to your DNS. Also one of the important ones for Exchange, Hotmail, AOL, Yahoo, and others is to have a Reverse DNS for your domain. Those will knock out most of the issues. However you can never prevent a person intentionally blocking your or custom rules.</p> 
</div>","<div class=""post-text""> 
 <p> Yahoo uses a method called Sender ID, which can be configured at <a href=""http://old.openspf.org/wizard.html?mydomain=stackoverflow.com"" rel=""nofollow noreferrer""><span class=""diff-add"">The SPF Setup Wizard</span></a> and entered in to your DNS. Also one of the important ones for Exchange, Hotmail, AOL, Yahoo, and others is to have a Reverse DNS for your domain. Those will knock out most of the issues. However you can never prevent a person intentionally blocking your or custom rules.</p> 
</div>"
7677296,629,43,e70e6f47-4cb9-410f-bf9b-68ff8ddcb65e,2010-09-08 19:17,122,Rollback to [9021ca36-2c25-4f07-9821-38514d528828],3,1,Undesired Code Format,,,,"<div class=""post-text""> 
 <p> I found <a href=""http://raulparolari.com/Ruby2/lambda_Proc"" rel=""nofollow noreferrer"">this page</a> which shows what the difference between Proc.new and lambda are. According to the page, the only difference is that a lambda is strict about the number of arguments it accepts, whereas Proc.new converts missing arguments to nil. Here is an example IRB session illustrating the difference:</p> 
 <pre><code>irb(main):001:0&gt; l = lambda { |x, y| x + y }
=&gt; #&lt;Proc:0x00007fc605ec0748@(irb):1&gt;
irb(main):002:0&gt; p = Proc.new { |x, y| x + y }
=&gt; #&lt;Proc:0x00007fc605ea8698@(irb):2&gt;
irb(main):003:0&gt; l.call ""hello"", ""world""
=&gt; ""helloworld""
irb(main):004:0&gt; p.call ""hello"", ""world""
=&gt; ""helloworld""
irb(main):005:0&gt; l.call ""hello""
ArgumentError: wrong number of arguments (1 for 2)
    from (irb):1
    from (irb):5:in <span class=""diff-delete"">'call'</span>
    from (irb):5
    from :0
irb(main):006:0&gt; p.call ""hello""
TypeError: <span class=""diff-delete"">""can't</span> convert nil into <span class=""diff-delete"">String""</span>
    from (irb):2:in <span class=""diff-delete"">'+'</span>
    from (irb):2
    from (irb):6:in <span class=""diff-delete"">'call'</span>
    from (irb):6
    from :0
</code></pre> 
 <p> The page also recommends using lambda unless you specifically want the error tolerant behavior. I agree with this sentiment. Using a lambda seems a tad more concise, and with such an insignificant difference, it seems the better choice in the average situation.</p> 
 <p> As for Ruby 1.9, sorry, I haven't looked into 1.9 yet, but I don't imagine they would change it all that much (don't take my word for it though, it seems you have heard of some changes, so I am probably wrong there).</p> 
</div>","<div class=""post-text""> 
 <p> I found <a href=""http://raulparolari.com/Ruby2/lambda_Proc"" rel=""nofollow noreferrer"">this page</a> which shows what the difference between Proc.new and lambda are. According to the page, the only difference is that a lambda is strict about the number of arguments it accepts, whereas Proc.new converts missing arguments to nil. Here is an example IRB session illustrating the difference:</p> 
 <pre><code>irb(main):001:0&gt; l = lambda { |x, y| x + y }
=&gt; #&lt;Proc:0x00007fc605ec0748@(irb):1&gt;
irb(main):002:0&gt; p = Proc.new { |x, y| x + y }
=&gt; #&lt;Proc:0x00007fc605ea8698@(irb):2&gt;
irb(main):003:0&gt; l.call ""hello"", ""world""
=&gt; ""helloworld""
irb(main):004:0&gt; p.call ""hello"", ""world""
=&gt; ""helloworld""
irb(main):005:0&gt; l.call ""hello""
ArgumentError: wrong number of arguments (1 for 2)
    from (irb):1
    from (irb):5:in <span class=""diff-add"">`call'</span>
    from (irb):5
    from :0
irb(main):006:0&gt; p.call ""hello""
TypeError: <span class=""diff-add"">can't</span> convert nil into <span class=""diff-add"">String</span>
    from (irb):2:in <span class=""diff-add"">`+'</span>
    from (irb):2
    from (irb):6:in <span class=""diff-add"">`call'</span>
    from (irb):6
    from :0
</code></pre> 
 <p> The page also recommends using lambda unless you specifically want the error tolerant behavior. I agree with this sentiment. Using a lambda seems a tad more concise, and with such an insignificant difference, it seems the better choice in the average situation.</p> 
 <p> As for Ruby 1.9, sorry, I haven't looked into 1.9 yet, but I don't imagine they would change it all that much (don't take my word for it though, it seems you have heard of some changes, so I am probably wrong there).</p> 
</div>"
38275827,755,814,2024bce6-80c4-44f0-aabc-bb763eb64c05,2013-03-29 15:23,679449,Rollback to [6362ca7d-70cb-4b99-9645-09584497a8ac],4,2,Incorrect Code Change,,,,"<div class=""post-text"">
                <p> The Activator class within the root System namespace is pretty powerful.</p>

<p> There are a lot of overloads for passing parameters to the constructor and such. Check out the documentation at: <a href=""http://msdn.microsoft.com/en-us/library/system.activator.createinstance.aspx"" rel=""nofollow noreferrer"">http://msdn.microsoft.com/en-us/library/system.activator.createinstance.aspx</a></p>

<p> Here are some simple examples:</p>

<pre><code>ObjectType instance = (ObjectType)Activator.CreateInstance(objectType);

ObjectType instance = (ObjectType)Activator.CreateInstance(<span class=""diff-delete"">Type.GetType(</span>""MyNamespace.ObjectType, MyAssembly""<span class=""diff-delete"">)</span>);
</code></pre>

            </div>","<div class=""post-text"">
                <p> The Activator class within the root System namespace is pretty powerful.</p>

<p> There are a lot of overloads for passing parameters to the constructor and such. Check out the documentation at: <a href=""http://msdn.microsoft.com/en-us/library/system.activator.createinstance.aspx"" rel=""nofollow noreferrer"">http://msdn.microsoft.com/en-us/library/system.activator.createinstance.aspx</a></p>

<p> Here are some simple examples:</p>

<pre><code>ObjectType instance = (ObjectType)Activator.CreateInstance(objectType);

ObjectType instance = (ObjectType)Activator.CreateInstance(""MyNamespace.ObjectType, MyAssembly"");
</code></pre>

            </div>"
35644534,906,8,91c23824-b7c2-4098-8957-79bbf7320e39,2013-02-07 17:33,237838,Rollback to [3fca43f1-b9bf-4c01-941c-75f10d329125],3,1,Undesired Text Formatting,,,,"<div class=""post-text""> 
 <p> I worked on a project for my previous employer that used <code><span class=""diff-delete"">.NET</span></code>, and there was a built in <code><span class=""diff-delete"">.resx</span></code> format we used. We basically had a file that had all translations in the <code><span class=""diff-delete"">.resx</span></code> file, and then multiple files with different translations. <span class=""diff-delete"">The</span> consequence of this is that you have to be very diligent about ensuring that all strings visible in the application are stored in the <code><span class=""diff-delete"">.resx</span></code>, and anytime one is changed you have to update all languages you support.</p> 
 <p> If you get lazy and don't notify the people in charge of translations, or you embed strings without going through your localization system, it will be a nightmare to try and fix it later. Similarly, if localization is an afterthought, it will be very difficult to put in place. Bottom line, if you don't have all visible strings stored externally in a standard place, it will be very difficult to find all that need to be localized.</p> 
 <p> One other note, very strictly avoid concatenating visible strings directly, such as<span class=""diff-delete"">:</span></p> 
 <pre><code>String message = ""The "" + item + "" is on sale!"";
</code></pre> 
 <p> Instead, you must use something like</p> 
 <pre><code>String message = String.Format(""The {0} is on sale!"", item);
</code></pre> 
 <p> The reason for this is that different languages often order the words differently, and concatenating strings directly will need a new build to fix, but if you used some kind of string replacement mechanism like above, you can modify your <code><span class=""diff-delete"">.resx</span></code> file (or whatever localization files you use) for the specific language that needs to reorder the words.</p> 
</div>","<div class=""post-text""> 
 <p> I worked on a project for my previous employer that used <span class=""diff-add"">.NET</span>, and there was a built in <span class=""diff-add"">.resx</span> format we used. We basically had a file that had all translations in the <span class=""diff-add"">.resx</span> file, and then multiple files with different translations. <span class=""diff-add""> The</span> consequence of this is that you have to be very diligent about ensuring that all strings visible in the application are stored in the <span class=""diff-add"">.resx</span>, and anytime one is changed you have to update all languages you support.</p> 
 <p> If you get lazy and don't notify the people in charge of translations, or you embed strings without going through your localization system, it will be a nightmare to try and fix it later. Similarly, if localization is an afterthought, it will be very difficult to put in place. Bottom line, if you don't have all visible strings stored externally in a standard place, it will be very difficult to find all that need to be localized.</p> 
 <p> One other note, very strictly avoid concatenating visible strings directly, such as</p> 
 <pre><code>String message = ""The "" + item + "" is on sale!"";
</code></pre> 
 <p> Instead, you must use something like</p> 
 <pre><code>String message = String.Format(""The {0} is on sale!"", item);
</code></pre> 
 <p> The reason for this is that different languages often order the words differently, and concatenating strings directly will need a new build to fix, but if you used some kind of string replacement mechanism like above, you can modify your <span class=""diff-add"">.resx</span> file (or whatever localization files you use) for the specific language that needs to reorder the words.</p> 
</div>"
35644411,1120,4,b3d96cb2-36e9-4be8-89e4-9981a85514d1,2013-02-07 17:31,237838,Rollback to [e4d4bb8d-fdb9-40cb-ac3e-c19db48a6202],3,1,Undesired Text Formatting,,,,"<div class=""post-text""> 
 <p> I've just set up Sandcastle again. Try installing it (the May 2008 release) and search for <code><span class=""diff-delete"">SandcastleGui.exe</span></code> or something similar (it's in the examples folder or so).</p> 
 <p> Click Add Assembly and add your Assembly or Assemblies, add any <code><span class=""diff-delete"">.xml</span></code> Documentation files (the ones generated by the compiler if you enabled that option) and then Build.</p> 
 <p> It will take some time, but the result <strong>will</strong> be worth the effort. It will actually look up stuff from <code><span class=""diff-delete"">MSDN</span></code>, so your resulting documentation will also have the Class Inheritance all the way down to <code><span class=""diff-delete"">System.Object</span></code> with links to <code><span class=""diff-delete"">MSDN</span></code> and stuff.</p> 
 <p> Sandcastle seems a bit complicated at first, especially when you want to use it in an automated build, but I am absolutely sure it will be worth the effort.</p> 
 <p> Also have a look at <a href=""http://www.codeplex.com/SHFB"" rel=""nofollow noreferrer"">Sandcastle Help File Builder</a>, this is a somewhat more advanced GUI for it.</p> 
</div>","<div class=""post-text""> 
 <p> I've just set up Sandcastle again. Try installing it (the May 2008 release) and search for <span class=""diff-add"">SandcastleGui.exe</span> or something similar (it's in the examples folder or so).</p> 
 <p> Click Add Assembly and add your Assembly or Assemblies, add any <span class=""diff-add"">.xml</span> Documentation files (the ones generated by the compiler if you enabled that option) and then Build.</p> 
 <p> It will take some time, but the result <strong>will</strong> be worth the effort. It will actually look up stuff from <span class=""diff-add"">MSDN</span>, so your resulting documentation will also have the Class Inheritance all the way down to <span class=""diff-add"">System.Object</span> with links to <span class=""diff-add"">MSDN</span> and stuff.</p> 
 <p> Sandcastle seems a bit complicated at first, especially when you want to use it in an automated build, but I am absolutely sure it will be worth the effort.</p> 
 <p> Also have a look at <a href=""http://www.codeplex.com/SHFB"" rel=""nofollow noreferrer"">Sandcastle Help File Builder</a>, this is a somewhat more advanced GUI for it.</p> 
</div>"
16087981,1248,937,4f845fd1-cfb7-47c9-862b-0dc834dca5b9,2011-09-04 21:34,263681,Rollback to [410c08be-26b6-476a-a918-e2f87cbf6256],5,1,Undesired Code Add,,,,"<div class=""post-text"">
                <p> Jeff, <a href=""http://stackoverflow.com/questions/11/how-do-i-calculate-relative-time/12#12"">your code</a> is nice but could be clearer with constants (as suggested in Code Complete).</p>

<pre><code><span class=""diff-delete"">var ts = new TimeSpan(DateTime.UtcNow.Ticks - dt.Ticks);
double delta = ts.TotalSecondsMath.Abs(ts.TotalSeconds);
</span>const int SECOND = 1;
const int MINUTE = 60 * SECOND;
const int HOUR = 60 * MINUTE;
const int DAY = 24 * HOUR;
const int MONTH = 30 * DAY;

if (delta &lt; 0)
{
  return ""not yet"";
}
if (delta &lt; 1 * MINUTE)
{
  return ts.Seconds == 1 ? ""one second ago"" : ts.Seconds + "" seconds ago"";
}
if (delta &lt; 2 * MINUTE)
{
  return ""a minute ago"";
}
if (delta &lt; 45 * MINUTE)
{
  return ts.Minutes + "" minutes ago"";
}
if (delta &lt; 90 * MINUTE)
{
  return ""an hour ago"";
}
if (delta &lt; 24 * HOUR)
{
  return ts.Hours + "" hours ago"";
}
if (delta &lt; 48 * HOUR)
{
  return ""yesterday"";
}
if (delta &lt; 30 * DAY)
{
  return ts.Days + "" days ago"";
}
if (delta &lt; 12 * MONTH)
{
  int months = Convert.ToInt32(Math.Floor((double)ts.Days / 30));
  return months &lt;= 1 ? ""one month ago"" : months + "" months ago"";
}
else
{
  int years = Convert.ToInt32(Math.Floor((double)ts.Days / 365));
  return years &lt;= 1 ? ""one year ago"" : years + "" years ago"";
}
</code></pre>

            </div>","<div class=""post-text"">
                <p> Jeff, <a href=""http://stackoverflow.com/questions/11/how-do-i-calculate-relative-time/12#12"">your code</a> is nice but could be clearer with constants (as suggested in Code Complete).</p>

<pre><code>const int SECOND = 1;
const int MINUTE = 60 * SECOND;
const int HOUR = 60 * MINUTE;
const int DAY = 24 * HOUR;
const int MONTH = 30 * DAY;

if (delta &lt; 0)
{
  return ""not yet"";
}
if (delta &lt; 1 * MINUTE)
{
  return ts.Seconds == 1 ? ""one second ago"" : ts.Seconds + "" seconds ago"";
}
if (delta &lt; 2 * MINUTE)
{
  return ""a minute ago"";
}
if (delta &lt; 45 * MINUTE)
{
  return ts.Minutes + "" minutes ago"";
}
if (delta &lt; 90 * MINUTE)
{
  return ""an hour ago"";
}
if (delta &lt; 24 * HOUR)
{
  return ts.Hours + "" hours ago"";
}
if (delta &lt; 48 * HOUR)
{
  return ""yesterday"";
}
if (delta &lt; 30 * DAY)
{
  return ts.Days + "" days ago"";
}
if (delta &lt; 12 * MONTH)
{
  int months = Convert.ToInt32(Math.Floor((double)ts.Days / 30));
  return months &lt;= 1 ? ""one month ago"" : months + "" months ago"";
}
else
{
  int years = Convert.ToInt32(Math.Floor((double)ts.Days / 365));
  return years &lt;= 1 ? ""one year ago"" : years + "" years ago"";
}
</code></pre>

            </div>"
35709879,1281,5,029e310c-8686-4292-b66c-3064500391c2,2013-02-08 21:59,35,Rollback to [d6f1f165-3f49-48ff-b087-87b6967ca5e0],3,1,Undesired Text Formatting,,,,"<div class=""post-text""> 
 <p> You can use the artifact directory variable inside the MSBuild script itself. Here's an example of how I'm running FxCop right now from my <code><span class=""diff-delete"">CC.Net</span></code> MSBuild script (this script is what CC.Net points to - there is also a ""Build"" target in the script that includes an MSBuild task against the <code><span class=""diff-delete"">SLN</span></code> to do the actual compilation):</p> 
 <pre><code>&lt;Exec
  Command='FxCopCmd.exe /project:""$(MSBuildProjectDirectory)\FXCopRules.FxCop"" /out:""$(CCNetArtifactDirectory)\ProjectName.FxCop.xml""'
  WorkingDirectory=""C:\Program Files\Microsoft FxCop 1.35""
  ContinueOnError=""true""
  IgnoreExitCode=""true""
/&gt;
</code></pre> 
</div>","<div class=""post-text""> 
 <p> You can use the artifact directory variable inside the MSBuild script itself. Here's an example of how I'm running FxCop right now from my <span class=""diff-add"">CC.Net</span> MSBuild script (this script is what CC.Net points to - there is also a ""Build"" target in the script that includes an MSBuild task against the <span class=""diff-add"">SLN</span> to do the actual compilation):</p> 
 <pre><code>&lt;Exec
  Command='FxCopCmd.exe /project:""$(MSBuildProjectDirectory)\FXCopRules.FxCop"" /out:""$(CCNetArtifactDirectory)\ProjectName.FxCop.xml""'
  WorkingDirectory=""C:\Program Files\Microsoft FxCop 1.35""
  ContinueOnError=""true""
  IgnoreExitCode=""true""
/&gt;
</code></pre> 
</div>"
