Id,PostId,Score,RevisionGUID,CreationDate,UserId,Comment,Revision,RollbackTo,Reason1,Reason2,Reason3,Reason4,PostData(Before),PostData(After)
101935166,4,622,145e2bd7-eefa-4bc9-ba67-ea9b60269ea4,2015-10-16 0:42,0,Rollback to [08836eb9-27de-48b7-b9e0-e3f44dddbad1],23,21,Undesired Text Formatting,,,,"<div class=""post-text"">
                <p> I want to use a track-bar to change a form's opacity.</p>

<p> This is my code:</p>

<pre class=""lang-cs prettyprint prettyprinted"" style=""""><code><span class=""kwd"">decimal</span><span class=""pln""> trans </span><span class=""pun"">=</span><span class=""pln""> trackBar1</span><span class=""pun"">.</span><span class=""typ"">Value</span><span class=""pln""> </span><span class=""pun"">/</span><span class=""pln""> </span><span class=""lit"">5000</span><span class=""pun"">;</span><span class=""pln"">
</span><span class=""kwd"">this</span><span class=""pun"">.</span><span class=""typ"">Opacity</span><span class=""pln""> </span><span class=""pun"">=</span><span class=""pln""> trans</span><span class=""pun"">;</span></code></pre>

<p> When I try to build it, I get this error:</p>

<blockquote>
  <p> Cannot implicitly convert type <strong><span class=""diff-delete"">'decimal'</span></strong> to <strong><span class=""diff-delete"">'double'.</span></strong></p>
</blockquote>

<p> I tried making <code>trans</code> a <code>double</code>, but then the control doesn't work. This code has worked fine for me in <strong><code><span class=""diff-delete"">VB.NET in the past</span></code></strong>. </p>

            </div>","<div class=""post-text"">
                <p> I want to use a track-bar to change a form's opacity.</p>

<p> This is my code:</p>

<pre class=""lang-cs prettyprint prettyprinted"" style=""""><code><span class=""kwd"">decimal</span><span class=""pln""> trans </span><span class=""pun"">=</span><span class=""pln""> trackBar1</span><span class=""pun"">.</span><span class=""typ"">Value</span><span class=""pln""> </span><span class=""pun"">/</span><span class=""pln""> </span><span class=""lit"">5000</span><span class=""pun"">;</span><span class=""pln"">
</span><span class=""kwd"">this</span><span class=""pun"">.</span><span class=""typ"">Opacity</span><span class=""pln""> </span><span class=""pun"">=</span><span class=""pln""> trans</span><span class=""pun"">;</span></code></pre>

<p> When I try to build it, I get this error:</p>

<blockquote>
  <p> Cannot implicitly convert type <span class=""diff-add"">'decimal'</span> to <span class=""diff-add"">'double'.</span></p>
</blockquote>

<p> I tried making <code>trans</code> a <code>double</code>, but then the control doesn't work. This code has worked fine for me in <span class=""diff-add"">VB.NET in the past</span>. </p>

            </div>"
50804554,9,1742,6d3deeb0-3ffc-4b30-bc96-f3afc107ad15,2013-11-05 13:48,212,Rollback to [e5f0d953-fca5-4703-8e28-9e696c7efc59],26,20,Undesired Code Add,Undesired Text Remove,,,"<div class=""post-text"">
                <pre class=""lang-cs prettyprint prettyprinted"" style=""""><code><span class=""diff-delete""><span class=""pln""> </span><span class=""typ"">DateTime</span><span class=""pln""> birthdate </span><span class=""pun"">=</span><span class=""pln""> </span><span class=""kwd"">new</span><span class=""pln""> </span><span class=""typ"">DateTime</span><span class=""pun"">(</span><span class=""lit"">2012</span><span class=""pun"">,</span><span class=""pln""> </span><span class=""lit"">11</span><span class=""pun"">,</span><span class=""pln""> </span><span class=""lit"">5</span><span class=""pun"">);</span><span class=""pln"">
            </span><span class=""typ"">DateTime</span><span class=""pln""> now </span><span class=""pun"">=</span><span class=""pln""> </span><span class=""typ"">DateTime</span><span class=""pun"">.</span><span class=""typ"">Now</span><span class=""pun"">;</span><span class=""pln"">
            </span><span class=""typ"">int</span><span class=""pln""> years </span><span class=""pun"">=</span><span class=""pln""> now</span><span class=""pun"">.</span><span class=""typ"">Year</span><span class=""pln""> </span><span class=""pun"">-</span><span class=""pln""> birthdate</span><span class=""pun"">.</span><span class=""typ"">Year</span><span class=""pun"">;</span><span class=""pln"">
            </span><span class=""kwd"">if</span><span class=""pln""> </span><span class=""pun"">(</span><span class=""pln"">now</span><span class=""pun"">.</span><span class=""typ"">Month</span><span class=""pln""> </span><span class=""pun"">&lt;</span><span class=""pln""> birthdate</span><span class=""pun"">.</span><span class=""typ"">Month</span><span class=""pln""> </span><span class=""pun"">||</span><span class=""pln""> </span><span class=""pun"">(</span><span class=""pln"">now</span><span class=""pun"">.</span><span class=""typ"">Month</span><span class=""pln""> </span><span class=""pun"">==</span><span class=""pln""> birthdate</span><span class=""pun"">.</span><span class=""typ"">Month</span><span class=""pln""> </span><span class=""pun"">&amp;&amp;</span><span class=""pln""> now</span><span class=""pun"">.</span><span class=""typ"">Day</span><span class=""pln""> </span><span class=""pun"">&lt;</span><span class=""pln""> birthdate</span><span class=""pun"">.</span><span class=""typ"">Day</span><span class=""pun"">))</span><span class=""pln"">
                years</span><span class=""pun"">--;</span><span class=""pln"">
           </span><span class=""typ"">Console</span><span class=""pun"">.</span><span class=""typ"">WriteLine</span><span class=""pun"">(</span><span class=""pln"">years</span><span class=""pun"">.</span><span class=""typ"">ToString</span><span class=""pun"">());</span><span class=""pln"">
           </span><span class=""typ"">Console</span><span class=""pun"">.</span><span class=""typ"">ReadLine</span><span class=""pun"">();</span></span></code></pre>

            </div>","<div class=""post-text"">
                <p><span class=""diff-add""> Given a </span><code><span class=""diff-add"">DateTime</span></code><span class=""diff-add""> representing a person's birthday, how do I calculate their age?  </span></p>

            </div>"
20522578,11,1436,4c4fb97d-cfb3-415a-adb7-08fe8f5bc3d0,2012-01-30 12:35,1035257,Rollback to [059ce1c8-afc3-4953-9326-cd7f1613f203],8,5,Undesired Text Formatting,,,,"<div class=""post-text"">
                <p> Given a specific <code><span class=""diff-delete"">DateTime</span></code> value, how do I display relative time, like</p>

<ul>
<li> 2 hours ago</li>
<li> 3 days ago</li>
<li> a month ago</li>
</ul>

<p> etc, etc...?</p>

            </div>","<div class=""post-text"">
                <p> Given a specific <span class=""diff-add"">DateTime</span> value, how do I display relative time, like</p>

<ul>
<li> 2 hours ago</li>
<li> 3 days ago</li>
<li> a month ago</li>
</ul>

<p> etc, etc...?</p>

            </div>"
32859844,19,308,3a970952-da9e-4741-a769-1b24022106e6,2012-12-07 4:09,13,Rollback to [aaff7bc0-0bfd-425b-9c7f-6da90bd48741],12,10,Undesired Text Remove,,,Gratitude Add/Remove,"<div class=""post-text"">
                <p><span class=""diff-delete""> Solutions are welcome in any language. :-)</span> I'm looking for the fastest way to obtain the value of ?, as a personal challenge. More specifically I'm using ways that don't involve using <code>#define</code><span class=""diff-delete"">d</span> constants like <code>M_PI</code>, or hard-coding the number in.</p><p> The program below tests the various ways I know of. The inline assembly version is, in theory, the fastest option, though clearly not <span class=""diff-delete"">portable;</span> I've included it as a baseline to compare the other versions<span class=""diff-delete""> against</span>. In my tests, with built-ins, the <code>4 * atan(1)</code> version is fastest on GCC 4.2, because it auto-folds the <code>atan(1)</code> into a constant. With <code>-fno-builtin</code> specified, the <code>atan2(0, -1)</code> version is fastest.</p><div class=""diff-skipped"" title=""show the full diff against the previous revision, including unchanged sections""><div></div></div><p> And the inline assembly stuff (<code>fldpi.c</code>)<span class=""diff-delete"">, noting</span> that<span class=""diff-delete""> it</span> will only work for x86 and x64 systems:</p><div class=""diff-skipped"" title=""show the full diff against the previous revision, including unchanged sections""><div></div></div><p> Apart from testing between various compiler flags (I've compared 32-bit against 64-bit too, because the <span class=""diff-delete"">optimisations</span> are different), I've also tried switching the order of the tests around. <span class=""diff-delete"">The</span> <code>atan2(0, -1)</code> version still comes out top every time<span class=""diff-delete"">, though</span>.</p>
            </div>","<div class=""post-text"">
                <p> I'm looking for the fastest way to obtain the value of ?, as a personal challenge. More specifically<span class=""diff-add"">,</span> I'm using ways that don't involve using <code>#define</code> constants like <code>M_PI</code>, or hard-coding the number in.</p><p> The program below tests the various ways I know of. The inline assembly version is, in theory, the fastest option, though clearly not <span class=""diff-add"">portable.</span> I've included it as a baseline to compare<span class=""diff-add""> against</span> the other versions. In my tests, with built-ins, the <code>4 * atan(1)</code> version is fastest on GCC 4.2, because it auto-folds the <code>atan(1)</code> into a constant. With <code>-fno-builtin</code> specified, the <code>atan2(0, -1)</code> version is fastest.</p><div class=""diff-skipped"" title=""show the full diff against the previous revision, including unchanged sections""><div></div></div><p> And the inline assembly stuff (<code>fldpi.c</code>) that will only work for x86 and x64 systems:</p><div class=""diff-skipped"" title=""show the full diff against the previous revision, including unchanged sections""><div></div></div><p> Apart from testing between various compiler flags (I've compared 32-bit against 64-bit too, because the <span class=""diff-add"">optimizations</span> are different), I've also tried switching the order of the tests around. <span class=""diff-add"">But still, the</span> <code>atan2(0, -1)</code> version still comes out<span class=""diff-add""> on</span> top every time.</p>
            </div>"
139415373,25,140,a4e3e96f-70d4-4ee8-a00b-5a9df8246e4b,2017-02-27 16:47,3425536,Rollback to [d357e5b6-4ba5-4309-b3f5-54139642a20e],8,6,Undesired Text Formatting,Incorret Text Change,,,"<div class=""post-text"">
                    <h1><span class=""title-diff""><span class=""diff-delete""> Using</span> C socket API in C++ on z/OS</span></h1>
                <p> I've been having issues getting the <strong><span class=""diff-delete"">C sockets API</span></strong> to work properly in <code><span class=""diff-delete"">C++</span></code>. Specifically, <span class=""diff-delete"">even though I'm</span> including <code>sys/socket.h</code>, <span class=""diff-delete"">I'm</span> still <span class=""diff-delete"">getting</span> compile time errors telling me that <code>AF_INET</code> is not defined. Am I missing something obvious, or could this be related to the fact that I'm doing this coding on <code>z/OS</code> and my problems are much more complicated?</p>

<hr>

<p><strong>Update</strong>: Upon further investigation, I discovered that there is an <code><span class=""diff-delete"">#ifdef</span></code> that I'm hitting. Apparently <code>z/OS</code> isn't happy unless I define which <em><span class=""diff-delete"">type</span></em> of sockets I'm using with:</p>

<pre class=""default prettyprint prettyprinted"" style=""""><code><span class=""com"">#define</span><span class=""pln""> _OE_SOCKETS</span></code></pre>

<p> Now, I personally have no idea what this <code>_OE_SOCKETS</code> is actually for, so if any <code>z/OS</code> sockets programmers are out there (all 3 of you), perhaps you could give me a rundown <span class=""diff-delete"">on</span> how this all works?</p>

            </div>","<div class=""post-text"">
                    <h1><span class=""title-diff""><span class=""diff-add""> How to use the</span> C socket API in C++ on z/OS</span></h1>
                <p> I've been having issues getting the <span class=""diff-add"">C sockets API</span> to work properly in <span class=""diff-add"">C++</span>. Specifically, <span class=""diff-add"">although I am</span> including <code>sys/socket.h</code>, <span class=""diff-add"">I</span> still <span class=""diff-add"">get</span> compile time errors telling me that <code>AF_INET</code> is not defined. Am I missing something obvious, or could this be related to the fact that I'm doing this coding on <code>z/OS</code> and my problems are much more complicated?</p>

<hr>

<p><strong>Update</strong>: Upon further investigation, I discovered that there is an <span class=""diff-add"">#ifdef</span> that I'm hitting. Apparently <code>z/OS</code> isn't happy unless I define which <span class=""diff-add"">""type""</span> of sockets I'm using with:</p>

<pre class=""default prettyprint prettyprinted"" style=""""><code><span class=""com"">#define</span><span class=""pln""> _OE_SOCKETS</span></code></pre>

<p> Now, I personally have no idea what this <code>_OE_SOCKETS</code> is actually for, so if any <code>z/OS</code> sockets programmers are out there (all 3 of you), perhaps you could give me a rundown <span class=""diff-add"">of</span> how this all works?</p>

            </div>"
198837916,173,304,a93ff95b-9f69-4714-9596-6190e9649ed0,2019-05-31 18:19,331508,Rollback to [96745ba0-dd25-4e96-9a28-f53a17fc658c],19,17,Undesired Text Remove,Incorret Text Change,,,"<div class=""post-text"">
                    <h1><span class=""title-diff""><span class=""diff-delete""> How do I version my MS</span> SQL database<span class=""diff-delete""> in SVN?</span></span></h1>
                <p> <span class=""diff-delete"">I've been wanting</span> to get my databases under version control.  Does anyone have any advice or recommended articles to get me started?</p>

            </div>","<div class=""post-text"">
                    <h1><span class=""title-diff""><span class=""diff-add""> Versioning</span> SQL<span class=""diff-add""> Server</span> database</span></h1>
                <p> <span class=""diff-add"">I want</span> to get my databases under version control.  Does anyone have any advice or recommended articles to get me started?</p><span class=""diff-add"">

</span><p><span class=""diff-add""> I'll always want to have at least </span><em><span class=""diff-add"">some</span></em><span class=""diff-add""> data in there (as </span><a href=""https://stackoverflow.com/users/80/alumb""><span class=""diff-add"">alumb</span></a><span class=""diff-add""> mentions: user types and administrators).  I'll also often want a large collection of generated test data for performance measurements.</span></p>

            </div>"
116953577,264,29,26cb209a-c329-43b8-a247-2ca816111272,2016-04-29 16:27,560648,Rollback to [3435871e-ed5f-481d-b685-7ba7407c1098],6,4,Undesired Text Formatting,,,,"<div class=""post-text"">
                <p><span class=""diff-delete""> What's the optimal level of concurrency that the C++ implementation of </span><code><span class=""diff-delete"">BerkeleyDB</span></code><span class=""diff-delete""> can reasonably support?</span></p><span class=""diff-delete"">

</span><p><span class=""diff-delete""> How many threads can I have hammering away at the DB before throughput starts to suffer because of </span><code><span class=""diff-delete"">resource contention</span></code><span class=""diff-delete"">?</span></p>

<p> I've read the manual and know how to set the number of locks, lockers, database page size, etc., but I'd just like some advice from someone who has real-world experience with <code><span class=""diff-delete"">BDB concurrency</span></code>.</p>

<p> My application is pretty simple, I'll be doing gets and puts of records that are about 1KB each. No cursors, no deleting.</p>

            </div>","      <div class=""post-text"">
                <ul><span class=""diff-add"">
</span><li><span class=""diff-add""> What's the optimal level of concurrency that the C++ implementation of BerkeleyDB can reasonably support?</span></li><span class=""diff-add"">
</span><li><span class=""diff-add""> How many threads can I have hammering away at the DB before throughput starts to suffer because of resource contention?</span></li><span class=""diff-add"">
</span></ul>

<p> I've read the manual and know how to set the number of locks, lockers, database page size, etc., but I'd just like some advice from someone who has real-world experience with <span class=""diff-add"">BDB concurrency</span>.</p>

<p> My application is pretty simple, I'll be doing gets and puts of records that are about 1KB each. No cursors, no deleting.</p>

            </div>"
8211582,588,51,d4d10c0b-17c4-4cd9-9172-bfa037e64732,2010-10-12 2:22,73488,Rollback to [3acf083f-0f80-44b8-8c4c-44be86810629],9,7,,,,Gratitude Add/Remove,"<div class=""post-text"">
                <p> I'm writing a CMS application in PHP and one of the requirements is that it must be able to interface with the customer's Exchange server.  I've written up this functionality a few times before and have always used <a href=""http://en.wikipedia.org/wiki/WebDAV"" rel=""nofollow noreferrer"">WebDAV</a> to do it, but now I'm leaning away from that.</p>

<p> I will be running the site on IIS OR Apache (no preference) on Windows server 2008.  A few things I would need to do include adding contacts to a given user's address book, sending emails as a given user and running reports on contacts for a user.</p>

<p> All of this is pretty easy to do with WebDAV, but if there is a better way that doesn't require any functionality that is likely to be deprecated any time soon.</p>

<p> Any ideas?</p>

<h3>Update:</h3>

<p> Justin, I love the idea of using com objects, I just worry about maintaining a 3rd product to make everything work...</p>

<p> John, I can write a web service in C# to interface with for these functions and access it with my PHP app, but it's also a little bit out of the way.</p>

<p> So far, I'm not 100% convinced that either of these is better than WebDAV... Can anyone show me where I'm being silly?</p>

            </div>","<div class=""post-text"">
                <p> I'm writing a CMS application in PHP and one of the requirements is that it must be able to interface with the customer's Exchange server.  I've written up this functionality a few times before and have always used <a href=""http://en.wikipedia.org/wiki/WebDAV"" rel=""nofollow noreferrer"">WebDAV</a> to do it, but now I'm leaning away from that.</p>

<p> I will be running the site on IIS OR Apache (no preference) on Windows server 2008.  A few things I would need to do include adding contacts to a given user's address book, sending emails as a given user and running reports on contacts for a user.</p>

<p> All of this is pretty easy to do with WebDAV, but if there is a better way that doesn't require any functionality that is likely to be deprecated any time soon.</p>

<p> Any ideas?</p>

<h3>Update:</h3>

<p> Justin, I love the idea of using com objects, I just worry about maintaining a 3rd product to make everything work...</p>

<p> John, I can write a web service in C# to interface with for these functions and access it with my PHP app, but it's also a little bit out of the way.</p>

<p> So far, I'm not 100% convinced that either of these is better than WebDAV... Can anyone show me where I'm being silly?</p><span class=""diff-add"">

</span><p><span class=""diff-add""> Thanks, both of you.</span></p>

            </div>"
16630203,1053,20,780df9d0-ba37-4d00-9f0e-ea6c215f6a91,2011-09-23 0:40,13,Rollback to [f98ee1cb-d419-47c1-ad6d-4169eb2c06f1],5,3,Undesired Text Formatting,,,,"<div class=""post-text"">
                <p> Most mathematicians agree that <code><span class=""diff-delete"">exp(?i) + 1 = 0</span></code>. However, most floating point implementations disagree. How well can we settle this dispute?</p>

<p> I'm keen to hear about different languages and implementations, and various methods to make the result as close to zero as possible. Be creative!</p>

            </div>","<div class=""post-text"">
                <p> Most mathematicians agree that<span class=""diff-add""> e **</span> <span class=""diff-add"">(?i) + 1 = 0</span>. However, most floating point implementations disagree. How well can we settle this dispute?</p>

<p> I'm keen to hear about different languages and implementations, and various methods to make the result as close to zero as possible. Be creative!</p>

            </div>"
35644376,1306,43,aa56f938-a0e0-4ff8-b43f-9694dc00ca89,2013-02-07 17:30,237838,Rollback to [27cc0d9d-5e14-419c-b025-0af42194e528],4,2,Undesired Text Formatting,,,,"<div class=""post-text"">
                <p> I'd like to create a progress bar to indicate the status of an a batch job in <span class=""diff-delete"">Ruby</span>. I've read some <a href=""http://tldp.org/HOWTO/NCURSES-Programming-HOWTO/"" rel=""nofollow noreferrer"" title=""NCURSES Programming HOWTO"">tutorials</a> / <a href=""http://ncurses-ruby.berlios.de/"" rel=""nofollow noreferrer"" title=""ncurses-ruby"">libraries</a> on using <span class=""diff-delete"">ncurses</span>, none of which were particularly helpful in explaining how create an <span class=""diff-delete"">""animated""</span> progress bar in the terminal or using curses with <span class=""diff-delete"">Ruby</span>. I'm already aware of using a separate thread to monitor the progress of a given job, I'm just not sure how to proceed with drawing a progress bar. </p>

<hr>

<p><strong>Update</strong><span class=""diff-delete"">
&nbsp;</span><a href=""http://0xcc.net/ruby-progressbar/"" rel=""nofollow noreferrer"" title=""ruby-progressbar"">ProgressBar</a> class was incredibly straight-forward, perfectly solved my problem.</p>

            </div>","<div class=""post-text"">
                <p> I'd like to create a progress bar to indicate the status of an a batch job in <code><span class=""diff-add"">Ruby</span></code>.<span class=""diff-add"">&nbsp; </span></p><span class=""diff-add"">

</span><p> I've read some <a href=""http://tldp.org/HOWTO/NCURSES-Programming-HOWTO/"" rel=""nofollow noreferrer"" title=""NCURSES Programming HOWTO"">tutorials</a> / <a href=""http://ncurses-ruby.berlios.de/"" rel=""nofollow noreferrer"" title=""ncurses-ruby"">libraries</a> on using <em><span class=""diff-add"">(n)curses</span></em>, none of which were particularly helpful in explaining how<span class=""diff-add""> to</span> create an <em><span class=""diff-add"">""animated""</span></em> progress bar in the terminal or using curses with <code><span class=""diff-add"">Ruby</span></code>.<span class=""diff-add"">&nbsp; </span></p><span class=""diff-add"">

</span><p> I'm already aware of using a separate thread to monitor the progress of a given job, I'm just not sure how to proceed with drawing a progress bar. </p>

<hr>

<p><strong>Update</strong><span class=""diff-add"">&nbsp;  </span></p><span class=""diff-add"">

</span><p><a href=""http://0xcc.net/ruby-progressbar/"" rel=""nofollow noreferrer"" title=""ruby-progressbar"">ProgressBar</a> class was incredibly straight-forward, perfectly solved my problem.</p>

            </div>"
