Id,PostTypeId,OwnerUserId
173,1,83
264,1,104
906,2,122
1120,2,91
1281,2,35
1306,1,302
1332,2,313
1375,2,136
1378,2,269
1517,2,199
2511,2,2089740
5948,1,383
7472,1,856
8263,1,179
8348,1,940
8585,1,143
9508,1,419
9589,1,1007
10314,1,1043
10905,1,905
11686,1,1343
14960,2,770
16855,2,1116
19343,2,429
20148,1,2013
22444,1,305
24156,2,1968
24797,1,1950
25597,2,1117
27509,1,797
27598,1,2937
28212,1,1421
29743,1,116
34988,1,1782
36629,2,116
37162,1,3915
38549,1,3836
38666,2,30
42665,2,2194
43496,2,3512
45202,1,1875
45535,1,1688440
47628,2,4725
50255,1,1288
50315,1,106
51193,2,4491
51537,2,1948
53395,1,5302
53676,1,5351
53684,2,5351
56124,1,1078
57805,2,5628
58744,1,905
59916,2,4249
60034,1,4872
61320,1,3408
63897,1,8203
65243,1,8967
67649,2,10314
68067,1,7173
68826,2,10387
68950,2,10823
69766,1,7850
70579,1,6093
71332,1,2455
72769,1,2341
74883,1,2822
77086,1,13778
81329,2,6682
81332,2,14514
81459,1,15415
84826,2,16253
86653,1,10333
87737,2,14514
88928,2,1153
89051,1,9021
90070,2,14484
90325,1,17258
95016,2,8701
96463,1,13281
100484,2,17585
100621,2,12534
101664,1,1853
102567,1,3464
104309,2,1968
104322,1,15124
105109,2,12643
105402,2,11830
106175,1,15127
106711,1,17046
109305,1,7215
109731,1,3957
109858,1,18642
110175,1,1368
110782,2,19899
112220,2,1130
113050,2,14648
113951,1,20316
114735,1,6216
116690,1,1412
119543,2,13552
120216,2,11961
120693,1,1384652
122206,2,1163802
122544,1,
124959,1,
125022,1,14728
125523,1,1227001
127318,1,2361
132643,1,2257
133925,1,16981
134994,2,5640
135010,1,730
135147,2,14606
135454,2,1737
137406,2,8091
137647,1,2849
139005,1,10710
139712,2,5987
142539,2,14065
143188,2,813
144791,2,1965
146304,2,23113
147539,2,4279
148403,1,22764
152022,1,7966
152284,2,5190
153021,1,5189
154148,1,7894
154177,2,14533
154699,2,5469
155480,2,7028
157832,1,8151
159099,2,18038
159825,2,12281
161929,2,905
162576,1,12870
164447,2,15168
164693,1,24644
164706,2,6897
165472,2,1175
165572,2,3957
166639,1,24805
166802,1,
167555,2,2915
171558,2,12448
171779,2,15537
171784,2,893
173479,2,24181
176002,2,4660
177112,2,9361
178162,2,951280
179147,2,14113
179423,1,13913
183907,1,2415
185331,2,3528
185544,2,233
185741,1,25749
187453,1,94303
188331,2,2015
189013,2,9251
189252,1,17577
189694,1,3661
189791,1,25012
190748,1,4086
192502,1,10755
198550,2,8091
199418,1,3467
199882,2,19468
199918,1,6335
200439,1,26004
200981,2,15416
201300,1,8446
202011,1,3291
202534,2,685
203193,1,4812
204409,2,1450
204777,2,8155
206384,1,1284
206526,2,2548
207513,1,14540
207521,1,
209661,1,21096
209703,2,419
213177,2,28558
213531,2,14048
215153,2,22656
215244,2,18771
217387,2,29442
218150,1,1127460
218419,2,8155
218510,2,27439
219891,2,12860
220991,2,6461
222902,2,10755
225597,1,20971
229113,2,3366
229567,2,17174
230823,2,7899
233636,1,26004
234255,2,28565
238452,1,14089
238522,2,13313
238941,1,
240163,1,22
241193,1,24181
241274,1,4575
242225,1,31952
244110,1,305
244439,1,3434
247804,2,11354
248157,1,26004
249526,2,22564
254273,1,26627
255006,1,19124
255785,1,13227
257418,1,31515
258728,1,20999
260125,1,23553
260235,1,5640
263416,2,22656
264140,1,451867
266606,1,20065
266745,2,2548
267483,1,1624
270632,2,9122
275091,2,1836
275450,2,6309
275875,2,28532
276382,1,1043
279338,2,27907
279966,1,27580
