Id,UserId,Reputation,New,Low-Reputed,Established,Trusted,RollbackByOwner,,EditPrevilege,,
173,331508,71879,0,0,0,1,0,,,,
264,560648,207115,0,0,0,1,0,,,,
906,237838,22160,0,0,0,1,0,,,,
1120,237838,22160,0,0,0,1,0,,,,
1306,237838,22160,0,0,0,1,0,,,,
1332,661933,11120,0,0,1,0,0,,,,
1375,237838,22160,0,0,0,1,0,,,,
1378,237838,22160,0,0,0,1,0,,,,
2511,237838,22160,0,0,0,1,0,,,,
8263,560648,270042,0,0,0,1,0,,,37015,26462
8585,4374739,2777,0,0,1,0,0,,,28.51006349,71.48993651
9589,560648,270042,0,0,0,1,0,,,,
11686,207421,68667,0,0,0,1,0,,,,
20148,19679,90019,0,0,0,1,0,,,,
27509,707111,112396,0,0,0,1,0,,,,
29743,64046,5362,0,0,1,0,0,,,,
38549,73226,347514,0,0,0,1,0,,,,
43496,3473046,897,0,1,0,0,0,,,,
43496,3473046,897,0,1,0,0,0,,,,
45535,124486,31895,0,0,0,1,0,,,,
51193,1348195,58676,0,0,0,1,0,,,,
51537,266143,55711,0,0,0,1,0,,,,
53676,5468463,16349,0,0,1,0,0,,,,
53684,5468463,16349,0,0,1,0,0,,,,
56124,419,33949,0,0,0,1,0,,,,
61320,106224,75377,0,0,0,1,0,,,,
63897,305,2480,0,0,1,0,0,,,,
65243,2548,44641,0,0,0,1,0,,,,
70579,426671,157096,0,0,0,1,0,,,,
71332,106224,155182,0,0,0,1,0,,,,
72769,17034,511575,0,0,0,1,0,,,,
77086,3942918,18103,0,0,1,0,0,,,,
81329,249011,1971,0,0,1,0,0,,,,
86653,2821954,3320,0,0,1,0,0,,,,
100621,3320,2431,0,0,1,0,0,,,,
102567,352101,6233,0,0,1,0,0,,,,
104322,3906760,2462,0,0,1,0,0,,,,
105402,2642204,26871,0,0,0,1,0,,,,
109858,1902010,100897,0,0,0,1,0,,,,
110175,2581872,5422,0,0,1,0,0,,,,
112220,444991,44403,0,0,0,1,0,,,,
116690,2074608,6070,0,0,1,0,0,,,,
120216,246246,37551,0,0,0,1,0,,,,
122206,19679,123352,0,0,0,1,0,,,,
133925,100297,578652,0,0,0,1,0,,,,
137406,685467,19729,0,0,1,0,0,,,,
139005,2302482,2154,0,0,1,0,0,,,,
139712,981744,3563,0,0,1,0,0,,,,
144791,1,3537,0,0,1,0,0,,,,
144791,3,246,0,1,0,0,0,,,,
164693,76722,3118,0,0,1,0,0,,,,
171558,56338,10540,0,0,1,0,0,,,,
171779,1927206,2506,0,0,1,0,0,,,,
173479,1709587,62432,0,0,0,1,0,,,,
179147,501765,957,0,1,0,0,0,,,,
185741,3333,3163,0,0,1,0,0,,,,
200981,237838,22160,0,0,0,1,0,,,,
202011,266143,69122,0,0,0,1,0,,,,
204409,13,6882,0,0,1,0,0,,,,
206384,2756409,8877,0,0,1,0,0,,,,
206526,119775,18235,0,0,1,0,0,,,,
209661,419,9453,0,0,1,0,0,,,,
218150,707111,73578,0,0,0,1,0,,,,
218510,635608,168845,0,0,0,1,0,,,,
219891,3474,21661,0,0,0,1,0,,,,
229567,348970,530,0,1,0,0,0,,,,
234255,2264626,5016,0,0,1,0,0,,,,
240163,1033581,13743,0,0,1,0,0,,,,
248157,5640,7106,0,0,1,0,0,,,,
249526,95706,10268,0,0,1,0,0,,,,
257418,140719,90205,0,0,0,1,0,,,,
266606,207421,112945,0,0,0,1,0,,,,
275450,14606,3454,0,0,1,0,0,,,,
279338,4279,2496,0,0,1,0,0,,,,
281909,3043,10805,0,0,1,0,0,,,,
282670,10936,439,0,1,0,0,0,,,,
283888,13913,6177,0,0,1,0,0,,,,
287204,10661,8405,0,0,1,0,0,,,,
292618,1638,2716,0,0,1,0,0,,,,
296193,419,9413,0,0,1,0,0,,,,
297134,4893,3197,0,0,1,0,0,,,,
301589,5190,13767,0,0,1,0,0,,,,
301924,1694,4815,0,0,1,0,0,,,,
304109,2915,9688,0,0,1,0,0,,,,
307801,13005,5580,0,0,1,0,0,,,,
315684,437,4132,0,0,1,0,0,,,,
321370,563532,20698,0,0,0,1,0,,,,
321418,4725,3646,0,0,1,0,0,,,,
324748,267,8459,0,0,1,0,0,,,,
326152,487033,13082,0,0,1,0,0,,,,
328677,8155,3392,0,0,1,0,0,,,,
329674,34218,15038,0,0,1,0,0,,,,
331567,241536,8655,0,0,1,0,0,,,,
332311,792066,3836,0,0,1,0,0,,,,
332311,576767,4713,0,0,1,0,0,,,,
332311,3538012,40853,0,0,0,1,0,,,,
334485,419,9365,0,0,1,0,0,,,,
334485,16587,6116,0,0,1,0,0,,,,
334748,1,5710,0,0,1,0,0,,,,
337704,5894241,7480,0,0,1,0,0,,,,
348363,211563,10390,0,0,1,0,0,,,,
352494,3476191,3508,0,0,1,0,0,,,,
369583,2548,33428,0,0,0,1,0,,,,
370967,207421,164798,0,0,0,1,0,,,,
377108,1835379,27665,0,0,0,1,0,,,,
383712,1364007,2858,0,0,1,0,0,,,,
386697,811,8898,0,0,1,0,0,,,,
388242,16587,32039,0,0,0,1,0,,,,
388282,9716597,6521,0,0,1,0,0,,,,
397145,50049,13348,0,0,1,0,0,,,,
397915,237483,3588,0,0,1,0,0,,,,
399506,5486,39248,0,0,0,1,0,,,,
401132,18941,3691,0,0,1,0,0,,,,
404946,2074608,6170,0,0,1,0,0,,,,
413919,2227743,15465,0,0,1,0,0,,,,
414074,109702,15953,0,0,1,0,0,,,,
416481,15410,14002,0,0,1,0,0,,,,
416481,156758,3618,0,0,1,0,0,,,,
418914,660921,11742,0,0,1,0,0,,,,
421280,1084945,6354,0,0,1,0,0,,,,
423596,1110381,3535,0,0,1,0,0,,,,
426182,516138,5235,0,0,1,0,0,,,,
429843,5640,4926,0,0,1,0,0,,,,
435753,584192,55815,0,0,0,1,0,,,,
440474,23354,22128,0,0,0,1,0,,,,
441248,2548,44641,0,0,0,1,0,,,,
445059,428790,18188,0,0,1,0,0,,,,
445847,8946,3410,0,0,1,0,0,,,,
446586,707111,69619,0,0,0,1,0,,,,
450017,861565,6622,0,0,1,0,0,,,,
454271,16587,6116,0,0,1,0,0,,,,
457446,46207,14211,0,0,1,0,0,,,,
457463,6083675,3399,0,0,1,0,0,,,,
462743,16587,4204,0,0,1,0,0,,,,
464038,157,5923,0,0,1,0,0,,,,
466799,23354,24525,0,0,0,1,0,,,,
472692,3956566,1,1,0,0,0,0,,,,
482890,1313143,9316,0,0,1,0,0,,,,
486543,1,8082,0,0,1,0,0,,,,
490805,1337,9077,0,0,1,0,0,,,,
490824,578411,17612,0,0,1,0,0,,,,
491528,6088,2128,0,0,1,0,0,,,,
492418,704944,3926,0,0,1,0,0,,,,
495367,168175,44633,0,0,0,1,0,,,,
498249,419,8899,0,0,1,0,0,,,,
498249,5640,5547,0,0,1,0,0,,,,
498249,419,8883,0,0,1,0,0,,,,
500734,237838,22160,0,0,0,1,0,,,,
500957,1033581,15764,0,0,1,0,0,,,,
501085,578411,17612,0,0,1,0,0,,,,
504868,38426,5799,0,0,1,0,0,,,,
514871,1,7939,0,0,1,0,0,,,,
516768,422353,2585,0,0,1,0,0,,,,
523643,3453226,2624,0,0,1,0,0,,,,
532538,1159478,157909,0,0,0,1,0,,,,
532917,16587,5078,0,0,1,0,0,,,,
536430,3542,4062,0,0,1,0,0,,,,
538878,4687348,2750,0,0,1,0,0,,,,
543101,3333,14816,0,0,1,0,0,,,,
543101,50776,4968,0,0,1,0,0,,,,
543821,419,9413,0,0,1,0,0,,,,
543821,419,9413,0,0,1,0,0,,,,
543821,5640,6459,0,0,1,0,0,,,,
550428,3002139,33275,0,0,0,1,0,,,,
554493,466862,59594,0,0,0,1,0,,,,
561484,2915,15670,0,0,1,0,0,,,,
563198,3956566,1,1,0,0,0,0,,,,
564486,24587,2808,0,0,1,0,0,,,,
564718,1033581,10924,0,0,1,0,0,,,,
565425,1,13956,0,0,1,0,0,,,,
565620,2157640,6805,0,0,1,0,0,,,,
566082,1358,4532,0,0,1,0,0,,,,
583113,5640,6263,0,0,1,0,0,,,,
583793,21926,3840,0,0,1,0,0,,,,
584714,168225,33606,0,0,0,1,0,,,,
587408,3168107,2740,0,0,1,0,0,,,,
587444,5640,6289,0,0,1,0,0,,,,
588004,4342498,100726,0,0,0,1,0,,,,
588177,3043,24884,0,0,0,1,0,,,,
594604,1288,26299,0,0,0,1,0,,,,
595216,53114,5591,0,0,1,0,0,,,,
603609,466862,22849,0,0,0,1,0,,,,
605856,2410359,32103,0,0,0,1,0,,,,
610945,27414,4477,0,0,1,0,0,,,,
611898,50742,2759,0,0,1,0,0,,,,
612389,12711,163911,0,0,0,1,0,,,,
612389,12711,163911,0,0,0,1,0,,,,
621216,578411,17612,0,0,1,0,0,,,,
622227,16587,6338,0,0,1,0,0,,,,
624482,16587,6076,0,0,1,0,0,,,,
624581,466862,54802,0,0,0,1,0,,,,
626343,18393,16541,0,0,1,0,0,,,,
626343,16587,6136,0,0,1,0,0,,,,
627050,2025,5167,0,0,1,0,0,,,,
627095,15689,2875,0,0,1,0,0,,,,
629513,24181,14954,0,0,1,0,0,,,,
630684,90801,6876,0,0,1,0,0,,,,
632100,4893,5984,0,0,1,0,0,,,,
