Id,UserId,Reputation,New,Low-Reputed,Established,Trusted,RollbackByOwner,,EditPrevilege,
1281,35,9743,0,0,1,0,1,,1,
1517,199,2134,0,0,1,0,1,,1,
5948,383,5466,0,0,1,0,1,,1,
7472,856,754,0,1,0,0,1,,0,
8348,940,4471,0,0,1,0,1,,1,
9508,419,53341,0,0,0,1,1,,1,
10314,1043,5653,0,0,1,0,1,,1,
10905,905,41846,0,0,0,1,1,,1,
14960,770,30390,0,0,0,1,1,,1,
16855,1116,15955,0,0,1,0,1,,1,
19343,429,42314,0,0,0,1,1,,1,
22444,305,24716,0,0,0,1,1,,1,
24156,1968,121711,0,0,0,1,1,,1,
24797,1950,93,0,1,0,0,1,,0,
25597,1117,1184,0,0,1,0,1,,0,
27598,2937,21,0,1,0,0,1,,0,
28212,1421,221,0,1,0,0,1,,0,
34988,1782,1188,0,0,1,0,1,,0,
36629,116,4974,0,0,1,0,1,,1,
37162,3915,4043,0,0,1,0,1,,1,
38666,30,9603,0,0,1,0,1,,1,
42665,2194,18567,0,0,1,0,1,,1,
45202,1875,498,0,1,0,0,1,,0,
47628,4725,98334,0,0,0,1,1,,1,
50255,1288,185578,0,0,0,1,1,,1,
50315,106,1165,0,0,1,0,1,,0,
53395,5302,2493,0,0,1,0,1,,1,
57805,5628,66051,0,0,0,1,1,,1,
58744,905,99750,0,0,0,1,1,,1,
59916,4249,54284,0,0,0,1,1,,1,
60034,4872,136008,0,0,0,1,1,,1,
67649,10314,2079,0,0,1,0,1,,1,
68067,7173,20867,0,0,0,1,1,,1,
68826,10387,71,0,1,0,0,1,,0,
68950,10823,1,1,0,0,0,1,,0,
69766,7850,13,0,1,0,0,1,,0,
74883,2822,425,0,1,0,0,1,,0,
81332,14514,3810,0,0,1,0,1,,1,
81459,15415,21,0,1,0,0,1,,0,
84826,16253,489,0,1,0,0,1,,0,
87737,14514,5235,0,0,1,0,1,,1,
88928,1153,263,0,1,0,0,1,,0,
89051,9021,362918,0,0,0,1,1,,1,
90070,14484,6142,0,0,1,0,1,,1,
90325,17258,29,0,1,0,0,1,,0,
95016,8701,456,0,1,0,0,1,,0,
96463,13281,11983,0,0,1,0,1,,1,
100484,17585,31,0,1,0,0,1,,0,
101664,1853,620,0,1,0,0,1,,0,
104309,1968,384295,0,0,0,1,1,,1,
105109,12643,7787,0,0,1,0,1,,1,
106175,15127,2122,0,0,1,0,1,,1,
106711,17046,3,1,0,0,0,1,,0,
109305,7215,513,0,1,0,0,1,,0,
109731,3957,2306,0,0,1,0,1,,1,
110782,19899,11,0,1,0,0,1,,0,
113050,14648,32086,0,0,0,1,1,,1,
113951,20316,21,0,1,0,0,1,,0,
114735,6216,356,0,1,0,0,1,,0,
119543,13552,70770,0,0,0,1,1,,1,
120693,1384652,3544,0,0,1,0,1,,1,
125022,14728,4088,0,0,1,0,1,,1,
125523,1227001,103,0,1,0,0,1,,0,
127318,2361,2482,0,0,1,0,1,,1,
132643,2257,4969,0,0,1,0,1,,1,
134994,5640,20510,0,0,0,1,1,,1,
135010,730,1498,0,0,1,0,1,,0,
135147,14606,56581,0,0,0,1,1,,1,
135454,1737,33595,0,0,0,1,1,,1,
137647,2849,691,0,1,0,0,1,,0,
142539,14065,170122,0,0,0,1,1,,1,
143188,813,1738,0,0,1,0,1,,0,
146304,23113,4094,0,0,1,0,1,,1,
147539,4279,185056,0,0,0,1,1,,1,
