id,Presentation,Structural,Temporal,Gratitude,Signature,Status,Deprecation,Duplication,DateTime,Actual,Predicted,,,,
173,0,0,1,0,0,0,0,0,2019-05-31 18:19,1,1,,,,
264,1,0,0,0,0,0,0,0,2016-04-29 16:27,1,1,,,,
1306,1,0,0,0,0,0,0,0,2013-02-07 17:30,1,1,,,,
5948,1,0,0,0,0,0,0,0,2009-02-24 14:42,1,1,,,,
7472,0,0,0,1,0,0,0,0,2013-01-17 19:24,1,1,,,,
8263,1,0,0,0,0,0,0,0,2018-03-13 17:28,1,1,,,,
8585,1,0,0,0,0,0,0,0,2015-09-01 9:54,1,1,,,,
9508,1,0,0,0,0,0,0,0,2013-07-05 19:19,1,1,,,,
9589,1,0,0,0,0,0,0,0,2018-03-13 17:26,1,1,,,,
10314,0,0,1,0,0,0,0,0,2009-02-23 23:50,1,1,,,,
10905,1,0,0,0,0,0,0,0,2013-07-05 7:21,1,1,,,,
11686,1,0,0,0,0,0,0,0,2013-07-04 12:21,1,1,,,,
20148,1,0,0,0,0,0,0,0,2013-02-26 21:30,1,1,,,,
22444,0,0,1,0,0,0,0,0,2012-05-22 15:31,1,1,,,,
24797,0,1,0,0,0,0,0,0,2008-08-24 20:38,1,1,,,,
28212,0,1,0,0,0,0,0,0,2008-08-26 16:30,1,1,,,,
29743,0,0,1,0,0,0,0,0,2015-04-29 16:47,1,1,,,,
34988,0,0,0,0,0,1,0,0,2008-09-03 17:53,1,1,,,,
38549,0,0,1,0,0,0,0,0,2019-02-13 8:10,1,1,,,,
45202,0,0,0,0,0,1,0,0,2008-09-05 10:40,1,1,,,,
45535,0,0,1,0,0,0,0,0,2017-04-04 0:30,1,1,,,,
50255,0,0,1,0,0,0,0,0,2015-04-28 19:43,1,1,,,,
53676,1,0,0,0,0,0,0,0,2019-08-19 11:46,1,1,,,,
56124,0,0,0,0,0,1,0,0,2011-11-19 1:22,1,1,,,,
58744,0,0,1,0,0,0,0,0,2018-07-16 7:30,1,1,,,,
63897,0,0,1,0,0,0,0,0,2008-09-15 20:02,1,1,,,,
65243,1,0,0,0,0,0,0,0,2012-08-27 23:16,1,1,,,,
68067,0,0,0,1,0,0,0,0,2013-12-02 19:00,1,1,,,,
69766,0,0,0,1,0,0,0,0,2008-09-24 12:03,1,1,,,,
70579,0,0,1,0,0,0,0,0,2017-03-22 16:14,1,1,,,,
72769,0,0,0,1,0,0,0,0,2014-12-22 22:42,1,1,,,,
77086,1,0,0,0,0,0,0,0,2018-12-23 11:20,1,1,,,,
81459,0,0,0,0,0,1,0,0,2008-09-17 13:16,1,1,,,,
86653,1,0,0,0,0,0,0,0,2015-11-30 8:24,1,1,,,,
89051,1,0,0,0,0,0,0,0,2017-06-15 7:51,1,1,,,,
102567,0,0,0,0,0,1,0,0,2016-03-30 16:30,1,1,,,,
106175,1,0,0,0,0,0,0,0,2012-10-15 2:23,1,1,,,,
109305,0,1,0,0,0,0,0,0,2008-10-06 13:30,1,1,,,,
